R1,R2,R3,R4,X,Y,low_barrier,barrier
E,A,D,D,C,B,-12.210838632592218,-20.673766273053197
B,A,C,B,A,B,-20.39505564713839,-17.890888223764613
E,B,A,A,C,A,-0.27564608653862765,-15.604469529598772
D,A,C,C,C,B,-16.235125915968503,-14.95175335230227
A,E,A,D,C,B,-6.392219384202073,-14.391001754004757
C,C,C,C,B,A,0.5224141873578125,-14.24712883017494
E,A,A,D,C,B,-5.391755929112225,-13.632560812429327
C,B,C,C,B,A,1.4438239986867327,-12.913736897408748
C,B,C,C,A,A,-1.5970555371515684,-12.164957537128137
C,C,C,B,B,A,-1.0300317013502949,-12.051735040779986
C,E,C,C,B,B,-15.046510020445158,-11.448708097890076
A,C,A,A,C,B,-3.406359878822251,-10.88128217794573
C,C,C,B,A,A,-2.1000232058909174,-10.560199041877164
B,A,A,A,B,B,-2.641193651468869,-9.851573772535152
B,C,C,A,C,B,-6.8024725278654685,-9.846204214129132
E,B,A,C,C,B,-8.053877021663043,-9.753080566334331
C,C,C,A,A,B,-3.967397274271772,-9.534758303456236
C,C,A,C,A,B,-4.236379210331099,-9.5338023517503
E,B,A,D,C,A,4.7977805612789375,-9.356548568085817
C,C,A,C,B,B,-4.417597671354096,-9.3277592050145
C,C,B,C,B,A,1.011507621605724,-9.228697444431328
A,E,B,C,B,B,-13.587061035800962,-9.210982558346071
B,E,D,A,C,A,4.372140885090686,-9.187105283708831
B,A,E,B,C,B,-4.918049027032471,-9.096514099825107
C,C,C,A,C,B,-4.166073048871921,-8.62869467078362
C,E,D,C,C,A,3.9413870068408436,-8.54694552066723
A,C,C,E,B,B,-1.6125487460149421,-8.543081218651253
C,A,E,C,B,B,-1.5631825757658113,-8.50313998022798
D,A,D,A,B,B,-1.2393814120109619,-8.475836805193644
C,C,B,B,B,A,0.15845869239269944,-8.431964388118667
C,E,D,A,C,A,3.319518842802494,-8.304581693834537
E,C,A,D,C,A,3.3344410180908555,-8.302314186219508
C,C,A,B,B,A,6.698312230319689,-8.215604153402209
A,B,C,E,A,A,-1.0774714175552988,-8.06008069998737
D,A,A,D,B,B,-0.03424946708351235,-8.022574431038398
C,C,C,A,B,A,11.588041754865614,-7.995571154135032
C,C,A,C,B,A,11.635550497167522,-7.992696266576656
B,B,E,D,C,B,1.138948520844423,-7.977027735589097
B,C,E,D,C,B,0.6090104947739043,-7.802807588854869
E,D,B,C,C,B,-5.109514717834503,-7.649388658966436
C,C,A,C,C,A,11.39445508199952,-7.628126246083074
A,A,A,A,C,B,-1.359624777508301,-7.4710404960847425
A,E,B,D,B,B,-3.1775824747709365,-7.359075710537458
A,A,E,C,C,B,-0.7201298724144175,-7.291038314766587
A,C,C,E,B,A,-1.8610236724594438,-7.239180341805793
C,B,A,A,C,B,-0.6820588725985655,-7.228721470215238
A,A,A,D,A,B,-5.100102075747321,-7.149812372082583
A,C,E,C,B,A,0.7279298152293818,-7.093818275339457
C,C,C,A,C,A,11.84143008039473,-7.074785358993977
A,B,C,E,B,B,-0.2109686851752823,-7.052033244671261
C,B,E,D,C,B,3.069738696615286,-7.048127952366448
D,D,A,D,C,B,-1.9759457576758201,-6.999782737866667
C,C,C,D,B,A,12.894064673025039,-6.975183910086408
C,A,E,C,C,A,-2.5025077825233,-6.932372618287888
C,A,E,C,A,A,-1.0673245893360925,-6.8936905354700775
A,D,D,C,A,A,-0.27173670265991656,-6.851217261208807
A,B,C,A,C,B,-3.0586506041873616,-6.830924065267304
B,A,A,C,C,B,-2.8424171144145647,-6.830348538155599
B,E,A,A,C,A,5.721217228318821,-6.786225356792826
C,A,C,D,A,B,-1.1115765574166239,-6.757990917038636
C,A,C,D,C,A,0.3386794132025023,-6.755195231310428
