R1,R2,R3,R4,X,Y,low_barrier,barrier
D,A,B,C,B,A,-52.415703216038295,-42.8952145188053
C,D,C,C,C,A,-21.47877078391988,-15.71455213672054
D,C,C,C,B,A,-20.634889768119034,-14.629314008746478
E,C,A,A,C,B,-14.579203715227242,-13.29178839247488
B,D,D,D,B,A,-19.806031329130704,-11.789457735910265
A,B,C,D,B,A,-20.245231485109827,-11.432124665339314
A,C,B,C,B,A,-14.630747343295225,-10.60925850070991
E,A,C,C,A,A,-0.9129447085501751,-10.33897909969724
C,C,E,D,B,A,-16.40289057389585,-10.054374560386345
A,C,E,D,C,A,-7.5385725164365125,-9.191567899550527
C,C,A,A,B,A,-15.486689091124298,-9.14836626695786
A,C,D,B,A,A,-3.1598490570201876,-8.153648876756524
E,A,B,B,B,A,-8.54708691790203,-7.764696658570799
E,A,C,C,C,A,-13.096467853861748,-7.563511429923758
A,B,B,D,C,A,-15.810151399637025,-6.578390408091568
C,C,E,E,A,A,-0.25855272860247364,-5.994327125594147
A,C,B,B,C,B,-4.023948428134165,-5.894716703310388
B,A,B,C,B,B,-6.146982406358765,-5.454777581626554
A,C,D,A,B,A,1.8645628259184672,-5.206277789419016
B,A,B,A,C,B,-6.791911543243186,-4.933052663546452
D,C,D,A,C,A,-2.186675989061797,-4.854458812288437
A,C,E,D,B,A,0.47294134041346625,-4.774847969692191
B,B,D,D,A,A,-2.372632146733988,-4.661985841960231
A,C,C,E,C,A,-5.16316050273873,-4.634492530427072
A,B,A,B,C,B,-6.083829853156935,-4.569882383585145
C,C,E,A,B,A,-7.397477011196525,-4.399383733817063
D,A,C,C,B,A,-7.586790344435901,-4.299982729119783
A,C,E,C,B,A,-1.1418601646882884,-4.293841014132474
C,A,B,D,C,B,-3.461273232870873,-4.21051519571997
B,C,D,A,A,A,2.4247217081207855,-3.86999502784
A,B,C,C,C,B,-4.143733711566068,-3.809160567642559
B,A,D,C,B,B,-1.7095428854606338,-3.7789624173257024
B,B,A,A,B,B,-0.8327364476181354,-3.5618129086693937
C,C,E,A,A,A,2.602689670093464,-3.45672374088068
B,C,A,A,A,A,4.6512194485358,-3.4364962509639376
C,B,E,A,A,A,1.0170359801060598,-3.189093640940896
A,C,B,A,C,A,-6.079267859014504,-3.1041281076039247
C,B,A,A,A,A,-0.10353906324435877,-2.917515255798788
A,C,B,B,B,B,-1.820712463970235,-2.7799994423704986
A,C,C,B,C,B,-0.5345627704967403,-2.682174222999502
C,A,B,C,C,B,-0.6776914066187486,-2.648736994348057
A,E,C,B,C,A,-8.735973544717242,-2.5895595507750904
C,B,A,C,A,A,-0.40324386312761146,-2.4909790661776188
C,A,E,B,C,A,-4.655461412663925,-2.41337486272893
A,C,E,A,C,A,-1.8499606805730726,-2.3325464065206045
A,C,E,E,B,A,-0.7537455549970721,-2.26108241864419
B,D,C,D,A,A,-7.4901099598334575,-2.1573924017305544
C,A,D,A,C,B,-3.2409923072752456,-2.140576558422592
