R1,R2,R3,R4,low_barrier,barrier
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-7.573333706997978,1.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-7.9360304407243065,2.3
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-6.638981740002809,2.4
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-5.518261382050141,2.5
N#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.3001301197882436,2.6
N#C[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-6.643374260991719,2.7
N#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-6.468300923934364,2.7
N#C[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-3.9990766191047555,2.8
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-5.456766087920046,2.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-6.035323854028783,2.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.848567741973026,3.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-6.975323348081032,3.0
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-5.662587071971108,3.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-5.490651249977172,3.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.978221080958937,3.1
N#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-5.607366807539816,3.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.376445704122836,3.4
N#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.460291324010383,3.4
N#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.215177433030627,3.4
F[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-4.374323413013414,3.6
