R1,R2,R3,R4,barrier
H,H,Br,H,12.230660973
H,Me,Br,H,13.972609301
H,Me,Cl,H,14.903823753
Me,H,Br,H,14.960299023
H,H,Ph,H,15.427788758000002
H,H,Cl,H,15.918496104000004
Ph,H,Br,H,16.518388972
Br,H,Br,H,17.048001504000002
H,Br,Br,H,17.072474121
H,H,Br,Me,17.091299211000003
H,Cl,Br,H,17.096319235
H,H,Br,Ph,17.169109583
Me,H,Cl,H,17.321592812000002
H,Ph,Br,H,17.616519222
H,H,Cl,Ph,17.684289546
Me,H,Br,Ph,17.75205987
H,Br,Cl,H,17.814182667
Cl,H,Br,H,17.847440326
H,Cl,Cl,H,17.849322835000002
H,H,Cl,Me,17.854342859
Ph,H,Cl,H,17.918348165
Me,Me,Br,H,17.988628501
H,H,H,H,18.004316076000002
Ph,H,Br,Ph,18.062046352000003
H,Ph,Cl,H,18.327480121
Br,Cl,Br,H,18.460510757
Cl,Cl,Br,H,18.497533434
Cl,H,Cl,H,18.521378548
H,H,Br,OMe,18.581618836
Me,H,Ph,H,18.592286387
Cl,Br,Br,H,18.651899172
Cl,H,Ph,H,18.658174202
H,Cl,Br,Me,18.725944526000003
Me,Me,Cl,H,18.832620036
H,H,H,Ph,18.833247539
Br,Me,Br,H,18.836385054
Br,H,Cl,H,18.857092653
H,H,Ph,Ph,18.923607971000003
H,Me,Ph,H,18.937413037
Cl,Me,Br,H,18.968160684
Cl,Cl,Cl,H,18.995770816
Cl,H,Br,Ph,19.034676002
Me,Cl,Br,H,19.04471605
Br,Br,Br,H,19.112486374
Br,Cl,Cl,H,19.175236674
Me,H,Cl,Ph,19.250537034
H,H,Cl,OMe,19.428120383
Cl,Br,Cl,H,19.445062964
H,Me,Br,Me,19.45886803
Br,Br,Cl,H,19.516598306
Ph,Me,Br,H,19.727439314
Cl,H,Br,Me,19.745636901
H,Cl,Br,OMe,19.7663445
Br,H,Br,Me,19.782659578
Ph,H,Br,Me,19.824074776000003
Me,H,Br,Me,19.845409878
Br,H,Ph,H,19.857332435
Me,Br,Cl,H,19.878667537
H,Br,Br,Me,19.940790334000003
Br,Me,Cl,H,19.942672843
H,H,Ph,Me,20.021110718
H,H,Br,NHPh,20.10519612
H,Br,Br,OMe,20.144728809
Me,H,Cl,Me,20.152886348
Ph,H,Cl,Ph,20.16167139
H,Me,Br,Ph,20.220656672000004
Cl,Me,Cl,H,20.239481762
Cl,H,Cl,Me,20.298467044
H,Me,H,Ph,20.316664631
Cl,H,H,Ph,20.321057152
H,Me,Cl,Me,20.351177296000003
Me,H,H,Ph,20.351804799
Cl,Br,H,Ph,20.370002386
Cl,Cl,H,Ph,20.385689961000004
Ph,H,Ph,Ph,20.423967644
Me,H,H,H,20.423967644
Me,Br,Br,H,20.472285375
Me,Me,Ph,H,20.510563058
H,Cl,Ph,H,20.536290681
Br,H,Br,Ph,20.571430849
Ph,H,Ph,H,20.620376083000004
Br,H,H,Ph,20.621003586000004
H,Me,Cl,Ph,20.638573670000003
H,H,Br,NH2,20.679988868
H,Br,Cl,Me,20.693166431
H,Br,Ph,H,20.719521557
Br,Cl,H,Ph,20.72014906
Ph,H,Cl,Me,20.741484162000003
Br,H,Cl,Me,20.750896707000003
Cl,H,Cl,Ph,20.778506839
H,Cl,Cl,Me,20.824314558
H,Cl,H,H,20.841884642
Me,Br,H,Me,20.863847247
Me,H,Ph,Ph,20.916557499000003
Br,Br,H,Ph,20.922205026
Cl,H,H,H,20.922205026
Me,Cl,Cl,H,20.929107559
H,H,Cl,NHPh,20.981817811000003
Br,H,H,H,20.993740368
Ph,H,H,Ph,20.998760392
Cl,H,Br,NHPh,21.006290428
Br,H,Cl,Ph,21.020722997000004
H,Br,Cl,OMe,21.034528063000003
H,Br,H,H,21.083473297
H,Me,Br,OMe,21.089748327
H,Cl,H,Ph,21.112338435
H,Cl,Cl,OMe,21.114220944
H,Cl,Cl,NH2,21.147478603000003
Cl,H,Br,OMe,21.149988615
H,Br,H,Ph,21.175088735
Cl,Cl,H,H,21.331964485
Br,H,Br,OMe,21.361457126000005
Me,Me,H,Ph,21.378399707000003
H,Cl,Br,Ph,21.416049887
Me,H,Br,OMe,21.427344941
H,Cl,Cl,Ph,21.431737462
H,Me,H,H,21.435502480000004
H,H,Me,H,21.461857606
Cl,Me,Br,Me,21.491350247000003
H,H,H,OMe,21.491977750000004
Ph,Me,Cl,H,21.648853500000005
Br,Cl,H,H,21.682111159
Cl,H,Ph,Ph,21.695288722
H,H,Ph,OMe,21.715996321
Cl,H,Br,NH2,21.720388842
H,Br,Br,Ph,21.734193908
Ph,H,Br,OMe,21.737331423
Cl,Br,H,H,21.742351447
H,Me,Cl,OMe,21.754274004
H,H,Cl,NH2,21.798199214
Cl,H,Cl,OMe,21.8371044
H,Me,H,Me,21.8371044
H,Br,Cl,Ph,21.84965446
Br,H,Ph,Ph,21.874127077
H,H,H,Me,21.894207173
Br,H,Cl,OMe,21.963860006
Br,Br,H,H,22.014060246000003
H,Ph,H,H,22.016570258
Ph,H,Ph,Me,22.0253553
Cl,H,Ph,Me,22.09438063
H,Cl,Cl,NHPh,22.10065566
Ph,Br,Br,H,22.11948075
H,Ph,Ph,H,22.137678337
H,Ph,H,Me,22.156503427
Me,Cl,H,Ph,22.167170978000005
Br,Me,H,H,22.200428637
Br,Me,Br,Me,22.201683643000003
H,Br,Cl,NH2,22.315261686000003
Br,H,Me,H,22.328439249
Cl,Br,Ph,H,22.332204267
Br,H,Ph,Me,22.3391068
H,H,Me,Ph,22.340361806000004
Me,H,Cl,OMe,22.419427184000003
Me,Br,H,Ph,22.430094735
H,Cl,Br,NH2,22.453312346
Cl,Ph,Br,H,22.460842382000003
H,H,Br,NHMe,22.468372418
H,Br,Cl,NHPh,22.469627424
Cl,Cl,Ph,H,22.504767592
Cl,H,Me,H,22.526730197000003
Br,H,Br,NHPh,22.540535263
Cl,H,Cl,NH2,22.553085323
H,Cl,Br,NHPh,22.555595335
H,Br,Cl,NHMe,22.590735503
H,Ph,H,Ph,22.610188096
H,Me,Br,NHPh,22.624620665
Cl,Me,Br,OMe,22.63403321
Br,Me,Br,OMe,22.681723438
Me,H,Br,NHPh,22.705568552000003
Ph,Cl,H,Ph,22.708706067
Cl,H,H,OMe,22.720628624
Br,Ph,Br,H,22.72815866
Me,H,Ph,Me,22.772083870000003
H,Ph,Br,Me,22.806596535000004
Cl,Ph,Cl,H,22.821029104
Br,H,Br,NHMe,22.851149248
Br,Me,Ph,H,22.868091829000004
Me,H,Me,Ph,22.883779404
Ph,H,H,H,22.887544422
H,Ph,Cl,Me,22.907624518
Ph,Br,H,Ph,22.911389536000005
Me,H,Me,H,22.934607147
Cl,Me,H,Ph,22.954687243
Br,Me,H,Ph,22.967864806
H,Me,Ph,Ph,22.987317399
Me,Cl,Br,OMe,23.014927531
H,Br,Br,NH2,23.022457567
Cl,Cl,H,OMe,23.033125118000005
Br,H,Br,NH2,23.043165166
Me,Br,H,H,23.043165166
Ph,H,Cl,OMe,23.055715226
Br,Br,Ph,H,23.056342729
H,Br,H,Me,23.06701028
Me,Me,H,Me,23.077677831
Cl,Me,Ph,H,23.080187843
Ph,Cl,Br,H,23.087717879
Me,Cl,Cl,OMe,23.144193149
H,Me,Ph,Me,23.198785910000005
Me,Br,Ph,H,23.240201108
Me,Br,Br,OMe,23.257771192
Br,Cl,Cl,OMe,23.259653701000005
Ph,Me,H,Ph,23.313618959
Cl,Cl,Br,OMe,23.337464073000003
Me,Ph,Br,H,23.338091576000004
H,Me,Me,H,23.358799175
Cl,Cl,Cl,OMe,23.360681684
Cl,Me,Cl,Me,23.36193669
Me,H,Br,NH2,23.370094229
Br,H,H,OMe,23.376996762000005
Cl,Br,H,OMe,23.425941996
