R1,R2,R3,R4,X,Y,barrier
E,A,D,D,C,B,-20.673766273053197
B,A,C,B,A,B,-17.890888223764613
E,B,A,A,C,A,-15.604469529598772
D,A,C,C,C,B,-14.95175335230227
A,E,A,D,C,B,-14.391001754004757
C,C,C,C,B,A,-14.24712883017494
E,A,A,D,C,B,-13.632560812429327
C,B,C,C,B,A,-12.913736897408748
C,B,C,C,A,A,-12.164957537128137
C,C,C,B,B,A,-12.051735040779986
C,E,C,C,B,B,-11.448708097890076
A,C,A,A,C,B,-10.88128217794573
C,C,C,B,A,A,-10.560199041877164
B,A,A,A,B,B,-9.851573772535152
B,C,C,A,C,B,-9.846204214129132
E,B,A,C,C,B,-9.753080566334331
C,C,C,A,A,B,-9.534758303456236
C,C,A,C,A,B,-9.5338023517503
E,B,A,D,C,A,-9.356548568085817
C,C,A,C,B,B,-9.3277592050145
C,C,B,C,B,A,-9.228697444431328
A,E,B,C,B,B,-9.210982558346071
B,E,D,A,C,A,-9.187105283708831
B,A,E,B,C,B,-9.096514099825107
C,C,C,A,C,B,-8.62869467078362
C,E,D,C,C,A,-8.54694552066723
A,C,C,E,B,B,-8.543081218651253
C,A,E,C,B,B,-8.50313998022798
D,A,D,A,B,B,-8.475836805193644
C,C,B,B,B,A,-8.431964388118667
C,E,D,A,C,A,-8.304581693834537
E,C,A,D,C,A,-8.302314186219508
C,C,A,B,B,A,-8.215604153402209
A,B,C,E,A,A,-8.06008069998737
D,A,A,D,B,B,-8.022574431038398
C,C,C,A,B,A,-7.995571154135032
C,C,A,C,B,A,-7.992696266576656
B,B,E,D,C,B,-7.977027735589097
B,C,E,D,C,B,-7.802807588854869
E,D,B,C,C,B,-7.649388658966436
C,C,A,C,C,A,-7.628126246083074
A,A,A,A,C,B,-7.4710404960847425
A,E,B,D,B,B,-7.359075710537458
A,A,E,C,C,B,-7.291038314766587
A,C,C,E,B,A,-7.239180341805793
C,B,A,A,C,B,-7.228721470215238
A,A,A,D,A,B,-7.149812372082583
A,C,E,C,B,A,-7.093818275339457
C,C,C,A,C,A,-7.074785358993977
A,B,C,E,B,B,-7.052033244671261
C,B,E,D,C,B,-7.048127952366448
D,D,A,D,C,B,-6.999782737866667
C,C,C,D,B,A,-6.975183910086408
C,A,E,C,C,A,-6.932372618287888
C,A,E,C,A,A,-6.8936905354700775
A,D,D,C,A,A,-6.851217261208807
A,B,C,A,C,B,-6.830924065267304
B,A,A,C,C,B,-6.830348538155599
B,E,A,A,C,A,-6.786225356792826
C,A,C,D,A,B,-6.757990917038636
C,A,C,D,C,A,-6.755195231310428
C,C,E,D,C,B,-6.70991955751856
C,C,B,B,A,A,-6.70568429816837
D,E,B,A,C,B,-6.686710009036362
C,C,C,A,A,A,-6.680855172138191
C,C,A,B,A,A,-6.654903581573073
B,B,A,A,B,A,-6.603774068210191
C,B,A,A,C,A,-6.58148237967173
B,B,E,D,C,A,-6.540555241762698
D,D,A,D,C,A,-6.5295053822066365
C,C,D,C,B,A,-6.396640217671711
C,C,A,E,C,B,-6.367519886304184
C,B,A,A,B,B,-6.343435527954425
B,C,A,A,B,B,-6.329457044167904
C,B,A,D,C,B,-6.321106853488406
B,C,D,A,C,B,-6.319427494952123
B,B,E,E,C,A,-6.317389748970784
C,B,A,A,B,A,-6.308607725548463
C,A,A,A,C,B,-6.2759372416586965
C,C,E,A,C,B,-6.233316362015091
D,D,D,A,C,A,-6.225658008623722
A,A,E,C,B,B,-6.168740129004917
E,A,A,B,C,B,-6.029086276435936
C,B,D,E,C,B,-5.9804345723144845
C,B,C,A,B,A,-5.921673768653296
A,C,A,C,C,A,-5.859519172251589
C,B,C,A,A,A,-5.825411415726258
C,C,A,A,B,B,-5.824675064117325
C,C,D,B,B,A,-5.74398705276057
A,C,D,C,A,A,-5.739396194664697
C,C,B,A,A,A,-5.665766584310731
C,C,E,E,C,B,-5.653367501767824
B,B,E,D,B,A,-5.62732060432244
C,C,D,A,C,B,-5.624184600819632
A,E,E,D,C,A,-5.618932818689493
A,C,A,C,B,B,-5.617649324128032
C,C,E,D,B,B,-5.606543906743401
A,C,E,E,C,B,-5.53503814648247
B,B,D,E,C,B,-5.491761867376393
C,B,A,D,B,B,-5.470072239560428
B,B,A,E,C,B,-5.407728759026008
A,A,A,A,B,B,-5.378397070634514
C,C,D,D,C,B,-5.375126976923471
C,B,E,D,C,A,-5.341880384147825
