R1,R2,R3,R4,X,Y,barrier
D,A,B,C,B,A,-42.8952145188053
C,D,C,C,C,A,-15.71455213672054
D,C,C,C,B,A,-14.629314008746478
E,C,A,A,C,B,-13.29178839247488
B,D,D,D,B,A,-11.789457735910265
A,B,C,D,B,A,-11.432124665339314
A,C,B,C,B,A,-10.60925850070991
E,A,C,C,A,A,-10.33897909969724
C,C,E,D,B,A,-10.054374560386345
A,C,E,D,C,A,-9.191567899550527
C,C,A,A,B,A,-9.14836626695786
A,C,D,B,A,A,-8.153648876756524
E,A,B,B,B,A,-7.764696658570799
E,A,C,C,C,A,-7.563511429923758
A,B,B,D,C,A,-6.578390408091568
C,C,E,E,A,A,-5.994327125594147
A,C,B,B,C,B,-5.894716703310388
B,A,B,C,B,B,-5.454777581626554
A,C,D,A,B,A,-5.206277789419016
B,A,B,A,C,B,-4.933052663546452
D,C,D,A,C,A,-4.854458812288437
A,C,E,D,B,A,-4.774847969692191
B,B,D,D,A,A,-4.661985841960231
A,C,C,E,C,A,-4.634492530427072
A,B,A,B,C,B,-4.569882383585145
C,C,E,A,B,A,-4.399383733817063
D,A,C,C,B,A,-4.299982729119783
A,C,E,C,B,A,-4.293841014132474
C,A,B,D,C,B,-4.21051519571997
B,C,D,A,A,A,-3.86999502784
A,B,C,C,C,B,-3.809160567642559
B,A,D,C,B,B,-3.7789624173257024
B,B,A,A,B,B,-3.5618129086693937
C,C,E,A,A,A,-3.45672374088068
B,C,A,A,A,A,-3.4364962509639376
C,B,E,A,A,A,-3.189093640940896
A,C,B,A,C,A,-3.1041281076039247
C,B,A,A,A,A,-2.917515255798788
A,C,B,B,B,B,-2.7799994423704986
A,C,C,B,C,B,-2.682174222999502
C,A,B,C,C,B,-2.648736994348057
A,E,C,B,C,A,-2.5895595507750904
C,B,A,C,A,A,-2.4909790661776188
C,A,E,B,C,A,-2.41337486272893
A,C,E,A,C,A,-2.3325464065206045
A,C,E,E,B,A,-2.26108241864419
B,D,C,D,A,A,-2.1573924017305544
C,A,D,A,C,B,-2.140576558422592
A,A,B,B,C,B,-2.075087423925337
C,C,D,D,A,A,-1.9920720978549693
A,B,E,C,B,A,-1.8991412441005728
C,C,A,D,A,A,-1.8441379315704176
B,D,B,A,B,A,-1.8414463545983455
C,B,C,D,A,A,-1.8057293442165616
C,C,D,A,A,A,-1.685145281988837
C,D,B,D,C,A,-1.516302287400919
A,D,C,B,C,B,-1.5150160623888425
C,A,A,C,B,A,-1.3352432601102773
B,A,E,A,B,A,-1.188313569136172
C,A,E,A,B,A,-1.1250317982185851
B,E,A,A,C,A,-1.076473803827158
C,A,B,D,B,B,-1.0750294970388738
C,D,C,A,C,A,-0.9945371362301532
C,A,A,A,C,B,-0.9888556673227284
D,C,C,C,C,B,-0.874390031922478
A,C,D,D,A,A,-0.8185723049607597
A,D,C,C,C,A,-0.7703418427952626
E,A,C,C,B,A,-0.7444817933086494
A,C,E,B,B,A,-0.6141809745516422
A,B,E,D,A,A,-0.6038285315729558
A,B,D,C,B,B,-0.5862488398540956
B,A,C,D,B,B,-0.5816555451909569
A,C,C,C,B,B,-0.4923809074190903
B,D,C,C,C,B,-0.4795378713267809
C,C,D,C,A,A,-0.458915532311908
B,A,E,E,C,A,-0.3859385843708863
A,B,A,D,B,B,-0.3247545457382149
D,C,B,C,C,B,-0.2740291618238125
D,A,B,C,C,B,-0.2629331820932779
B,A,A,D,B,A,-0.0297856294803805
B,C,A,A,B,B,-0.0287439844716494
C,B,A,A,B,B,0.0126171240130327
A,A,E,A,C,A,0.0529806435957435
C,C,A,C,A,A,0.0651362414116886
C,C,C,A,A,A,0.0666570464388724
B,A,C,C,B,B,0.101054254949275
A,A,C,C,C,B,0.1335863314455247
A,B,E,D,B,A,0.1810516583413311
C,C,B,C,B,B,0.3156559796650157
C,D,A,C,C,A,0.3229650562448465
B,A,E,D,B,A,0.3738764624338618
C,A,E,C,B,A,0.3849953630681364
B,C,D,A,B,B,0.3917791627009915
C,A,D,C,B,A,0.3951575626456562
C,A,B,A,B,A,0.4137240111735304
C,A,B,C,B,B,0.4731088226758548
A,C,C,B,B,B,0.4938478827830632
D,A,C,C,C,B,0.5117652924843271
A,D,C,C,C,B,0.5356599519321708
B,C,E,A,A,A,0.5439637198860893
C,A,E,E,C,A,0.5705144352651305
C,A,D,A,B,B,0.6192373304253479
B,A,D,C,A,A,0.643573288663259
B,C,D,D,B,B,0.6635248004634196
E,A,A,A,B,A,0.6764807991229377
