label,reaction,number_ts,filename_ts,energy_ts,method,number_r,filename_r,energy_r,activation,reactant
A_A_A_A_B_A,e2,0,transition-states/e2/A_A_A_A_B_A.xyz,-538.63142547,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_B_A/00.xyz,-538.647622,10.163476021948467,rcc
A_A_A_A_B_B,e2,0,transition-states/e2/A_A_A_A_B_B.xyz,-637.59771201,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_B_B/00.xyz,-637.60004711,1.4652973728734802,rcc
A_A_A_A_B_C,e2,0,transition-states/e2/A_A_A_A_B_C.xyz,-997.67970277,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_B_C/00.xyz,-997.74048983,38.14445605047499,rcc
A_A_A_A_B_D,e2,0,transition-states/e2/A_A_A_A_B_D.xyz,-3110.54708663,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_B_D/00.xyz,-3110.61320241,41.488278335083095,rcc
A_A_A_A_C_A,e2,0,transition-states/e2/A_A_A_A_C_A.xyz,-2651.50107474,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_C_A/00.xyz,-2651.51086484,6.143380501973895,rcc
A_A_A_A_C_B,e2,0,transition-states/e2/A_A_A_A_C_B.xyz,-2750.46573717,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_C_B/00.xyz,-2750.46357047,-1.359624777508301,rcc
A_A_A_A_C_C,e2,0,transition-states/e2/A_A_A_A_C_C.xyz,-3110.55090787,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_C_C/00.xyz,-3110.60348754,32.99424106804007,rcc
A_A_A_A_C_D,e2,0,transition-states/e2/A_A_A_A_C_D.xyz,-5223.41862838,hf,0,reactant-complex-constrained-conformers/e2/A_A_A_A_C_D/00.xyz,-5223.47615739,36.099998808218686,rcc
A_A_A_C_A_A,e2,0,transition-states/e2/A_A_A_C_A_A.xyz,-270.36093753,hf,8,reactant-complex-constrained-conformers/e2/A_A_A_C_A_A/08.xyz,-270.36695751,3.7775944836823863,rcc
A_A_A_C_B_C,e2,0,transition-states/e2/A_A_A_C_B_C.xyz,-1089.44648355,hf,7,reactant-complex-constrained-conformers/e2/A_A_A_C_B_C/07.xyz,-1089.50369443,35.900369219460075,rcc
A_A_A_D_A_A,e2,0,transition-states/e2/A_A_A_D_A_A.xyz,-217.60561652,hf,2,reactant-complex-constrained-conformers/e2/A_A_A_D_A_A/02.xyz,-217.63874889,20.79087607314879,rcc
A_A_A_D_A_B,e2,0,transition-states/e2/A_A_A_D_A_B.xyz,-316.598835,hf,2,reactant-complex-constrained-conformers/e2/A_A_A_D_A_B/02.xyz,-316.59070747,-5.100102075747321,rcc
A_A_A_D_C_A,e2,0,transition-states/e2/A_A_A_D_C_A.xyz,-2690.54560521,hf,1,reactant-complex-constrained-conformers/e2/A_A_A_D_C_A/01.xyz,-2690.56069513,9.46906776301998,rcc
