R1,R2,R3,R4,X,Y,barrier
A,B,B,E,B,A,1.886101230187571
E,B,D,A,A,A,16.259824710850626
C,B,A,D,C,B,6.084580430731753
A,B,A,C,B,A,-2.087935503439728
A,B,C,E,C,C,25.48474658709682
A,B,C,A,A,A,-2.4059038536413744
A,B,C,A,C,B,-0.021434713919533933
C,B,D,A,C,B,8.016129916325882
A,B,D,E,B,A,5.229428812061268
A,B,D,E,B,D,43.579447969030355
A,B,D,E,B,B,16.473887969110415
A,B,C,E,C,A,-1.7594479659334947
B,B,E,A,C,B,6.0096430550609545
E,B,E,A,C,B,9.63707634105967
A,D,E,E,C,A,8.528219845220406
B,B,E,E,C,A,5.154353895059306
A,C,C,D,C,C,22.797398294155826
B,C,A,E,B,D,34.33572859340959
A,B,C,A,C,A,-7.88864117092321
A,C,C,A,C,A,-8.284488719381192
A,C,C,A,C,B,-0.7423109077901568
C,C,D,A,C,B,4.584851259752061
A,B,D,E,B,C,35.37201270057721
D,C,D,E,B,C,31.1301332078607
A,C,E,E,B,D,43.603341691361635
D,C,D,E,B,D,36.7393235179351
B,C,D,E,C,A,3.2069344857364337
A,C,E,D,C,B,19.004449514016386
C,C,E,A,C,B,5.039601618702641
A,C,E,D,C,A,12.33150561486838
A,C,E,E,B,B,17.87728161259896
B,C,E,E,C,B,16.896232578672553
B,C,E,E,C,C,25.988522791673326
B,D,A,E,B,C,38.376619368881656
A,D,E,E,C,B,18.247517366631513
A,D,C,E,A,A,1.3315247275171898
E,D,C,D,A,A,3.743338168535417
B,D,E,B,A,A,2.283999477538191
B,D,E,D,B,C,34.52585843011709
B,D,E,D,B,D,40.29718177844776
B,D,E,D,C,A,3.492692909775101
A,C,E,D,C,C,32.59060942877577
A,D,E,E,C,C,30.92371395492872
B,D,E,D,C,C,27.799489018822648
A,C,E,D,C,D,36.39403896534497
D,E,A,B,A,A,1.4938694706134985
A,E,A,C,B,B,7.886331220688423
C,E,A,D,A,A,16.722729856125515
B,E,A,D,B,B,13.792591704478955
A,E,A,E,C,B,47.191081347376404
E,E,B,A,B,B,9.388451818395186
D,E,C,D,B,A,1.6096404649042817
B,E,C,D,C,B,-12.010014881534948
C,E,C,D,C,B,1.9786534923465915
A,E,B,A,C,B,-0.7541510645094903
A,E,A,C,B,A,3.0560393766137453
B,E,D,C,C,A,0.5156142262452613
A,E,E,C,A,A,7.758229761211583
D,E,E,D,A,A,20.152438920075575
B,B,A,E,B,A,5.5359525553746165
B,C,A,E,B,B,7.2712480669867325
B,E,D,C,B,A,0.9799992890944894
B,A,D,E,B,A,7.159235521239653
B,A,D,C,C,C,22.893276562982827
B,C,D,E,C,C,21.52363911562852
B,D,D,E,C,C,27.816483470155287
B,B,E,A,C,A,4.226952712744408
B,A,E,A,C,C,33.87766498237833
B,A,E,B,C,B,0.1802650681960177
B,A,E,A,C,B,15.60013563544882
B,B,E,A,C,C,30.28136293571175
B,A,A,B,C,A,3.0264409545722164
B,A,E,D,C,A,3.5075109364285093
B,A,E,D,C,B,14.677862475381934
B,E,E,E,B,B,22.12643732567264
B,B,E,E,B,A,7.509398342885682
B,B,E,A,B,A,4.4605480743823085
C,C,D,A,A,A,-0.472895184569209
B,C,D,A,B,B,-2.5163865131909953
B,D,A,E,A,A,12.787514348719867
B,C,A,E,B,A,6.0703109457144375
B,D,A,E,B,B,12.497414903494407
B,D,A,E,B,A,11.875463172928455
B,D,E,E,C,B,19.765767151180192
B,E,D,A,A,A,-2.327068288482817
B,D,E,D,A,A,10.125237221125039
B,D,E,E,A,A,13.942526808238794
D,D,E,E,B,A,11.5366508116642
B,A,A,C,C,A,-8.984338767314648
B,E,A,D,B,C,36.598028200410695
B,E,A,D,B,A,10.628840652968156
B,E,C,D,B,C,29.610449282697488
B,E,E,D,B,C,32.49911604605227
B,E,A,D,A,A,-3.5378840510659506
B,E,E,A,B,A,6.655424563806732
B,E,D,E,B,A,9.27707727595698
B,E,E,D,C,A,6.814218186766574
B,E,E,E,C,A,10.90374415738536
C,E,E,A,C,A,3.9549399492496815
B,E,E,B,B,A,-1.3448637792773117
B,E,E,D,B,A,4.2167678343183015
C,B,A,E,B,A,4.77514500254076
C,A,C,E,B,C,31.18671607672669
C,E,A,E,B,C,32.31539952947584
C,B,A,E,B,D,33.9147555853433
C,A,A,E,C,A,10.044180252866887
C,A,A,E,C,C,33.981358748828306
C,A,C,C,A,B,25.645457842035817
C,D,C,E,C,C,18.16783883805214
C,B,D,D,A,A,1.4130778498419128
B,A,D,E,B,B,16.208372163756607
B,A,D,E,B,C,36.20917514015779
C,C,D,E,B,C,27.28586352014297
C,C,D,E,B,D,31.323517429663124
C,A,D,E,C,B,16.07733259445502
C,A,D,E,C,A,12.313411101123206
C,C,D,E,C,C,21.39976734623583
C,A,E,C,C,A,1.5566725594877362
C,C,E,A,C,A,2.3359095651946573
C,A,E,A,C,A,9.682281685166712
C,A,E,A,C,B,17.331980915804884
C,A,E,A,C,C,33.42854493644329
C,A,E,C,C,D,33.75354512792666
C,D,E,A,C,D,32.875547056273795
C,A,E,D,C,A,9.480961763706107
B,A,E,D,C,C,31.18532375351195
C,A,E,C,C,C,27.421056680185004
C,D,E,E,B,C,35.21880305972135
C,B,A,D,A,B,6.541821336104207
C,B,D,D,C,B,2.050378578831924
C,B,A,D,A,A,0.808991590133587
C,B,A,E,A,A,6.3579874971855626
C,A,C,C,A,A,-2.2285489019447464
D,B,E,A,C,A,12.141128985061462
C,E,E,A,C,B,6.0471022578727815
C,C,D,B,A,A,-3.963443006354948
C,C,A,E,C,C,22.847951689144672
C,C,B,A,A,A,-6.4000551236426615
C,C,D,A,A,B,5.939690993895508
C,C,D,A,B,B,5.5340189546039324
C,C,D,A,B,A,5.622291268310018
C,C,D,C,B,A,-4.3741391670219
C,C,E,C,A,A,7.91671810029546
C,C,E,D,B,A,2.1823510997487845
E,D,A,E,A,A,16.51442464434165
C,C,D,E,A,A,7.605925393074791
C,A,D,E,A,A,15.034789749227365
C,D,E,E,A,A,13.894340400289558
C,D,E,E,B,A,9.061712419971348
C,D,E,E,B,B,15.204327426410735
C,D,E,D,A,A,11.344335156853905
B,D,E,D,B,B,11.655943400427846
C,E,A,C,B,A,-10.491853509325344
C,E,A,C,C,A,-13.72547682840971
C,E,A,C,C,C,24.10963886991324
C,E,A,C,C,B,-15.008802748269046
C,E,A,B,C,C,23.577319023701843
C,E,A,C,B,C,29.30565929027448
C,E,A,E,B,B,9.580491170707882
C,E,A,E,B,A,10.224391735059989
C,E,A,C,B,B,3.188434392637406
C,C,A,E,C,B,5.097271675472053
C,E,C,E,C,B,0.9707356317045148
C,E,C,A,A,B,5.329068463664063
C,A,C,A,B,A,-7.5274122774476515
C,C,C,A,C,A,-5.429895400930558
C,C,C,A,C,B,-0.4281101046380044
C,E,C,A,A,A,4.804738955550738
C,E,C,D,B,B,2.601924294231081
C,E,B,E,C,B,1.4634259627990167
C,E,D,D,A,A,18.414497206060368
C,E,D,C,B,A,1.0030173770154855
C,E,D,C,B,B,3.3104107660948205
C,E,E,C,B,A,-5.513235334447257
B,E,E,A,B,B,8.498943279700137
C,E,E,C,B,C,26.37855828885354
C,E,C,D,B,A,0.7080538090137056
D,A,E,C,A,A,1.3290800365286513
C,A,A,C,B,A,-8.869444418280159
D,A,C,E,C,B,4.332324547911283
D,A,C,E,C,C,27.287336109360215
D,B,A,E,C,C,31.099628041436162
D,A,C,E,A,A,3.9962513013464527
D,B,E,A,B,B,12.493372295434149
D,B,E,A,C,B,12.01347254772941
B,A,E,B,C,A,1.5783319947578214
D,B,A,E,B,B,12.556368536937125
D,B,A,E,C,B,10.92657027794887
D,B,A,E,C,A,6.686761402917043
D,B,D,E,A,A,6.7632317714451275
D,B,E,A,A,A,12.778676470161324
D,B,E,A,B,A,15.966562179803285
A,B,E,E,A,A,15.353991842667673
D,B,A,E,B,A,8.187017316800485
D,C,D,E,B,A,5.204438375925423
C,C,A,E,C,A,2.3814302367543805
E,C,A,E,C,A,6.914002958388172
D,C,E,A,B,D,40.071034572801935
D,B,E,A,B,C,38.521164512617226
D,B,E,A,B,D,44.000645217618505
C,C,E,A,C,C,22.991596759816908
A,C,E,E,B,A,10.550382600572362
D,D,C,E,B,B,1.8469051599450503
D,D,B,E,B,C,31.00962163412446
D,D,C,E,B,C,29.74132373278853
D,D,E,E,C,B,8.247334293185332
D,D,E,E,C,A,7.36752710716608
D,D,E,E,B,B,14.079704110424357
D,D,E,E,A,A,20.753691684619838
D,E,E,D,B,A,7.772045573234108
D,E,C,E,B,A,6.115813454220212
D,E,D,C,A,A,3.7995069312927248
D,E,B,C,C,B,-0.954894117389158
C,E,D,E,A,A,22.95918360313415
D,C,D,E,B,B,11.92272098921577
E,C,A,B,B,A,-11.755956916523584
E,A,D,C,C,A,0.04113198491208432
B,A,A,C,C,B,0.00705311049611433
E,A,E,D,C,B,11.064298499946352
E,A,B,E,B,A,-7.00304397541243
C,A,A,E,C,B,17.319671612966552
E,A,C,E,C,B,5.001022996770682
E,E,B,D,A,A,3.9823754127401267
E,A,B,D,B,B,1.8575618043644408
E,C,C,A,B,A,-10.823473121022332
E,A,C,E,C,A,-0.2706918300707917
E,A,A,C,C,B,8.394210770620404
E,A,D,C,C,B,-13.952499331172342
E,C,D,D,C,B,-3.5209002752359173
E,D,E,A,C,B,13.568104188051837
E,A,A,C,B,A,1.4580106789403509
E,C,A,C,C,A,-13.857061622414186
E,B,A,C,C,A,-16.051602305150233
E,C,A,D,B,A,-5.722020280996807
C,B,A,E,C,A,3.987399945102754
E,B,C,A,C,B,-9.665177602896016
E,B,C,A,C,A,-12.521491333806665
E,B,D,C,A,A,1.6573660908351306
E,B,D,E,A,A,13.875328264482436
B,B,D,A,B,A,7.8088973987421575
E,B,D,A,B,B,-6.6161895803982285
E,B,D,A,B,A,10.606396398557527
E,B,C,E,B,A,4.501345467304837
E,B,E,D,B,A,5.731444250879933
E,B,D,D,A,A,15.600818917981346
E,B,E,D,B,B,9.445298182094831
E,B,A,D,B,B,7.479740597927215
E,B,A,C,A,A,3.2329585894765267
E,C,D,C,A,A,3.266389836911602
E,B,A,C,A,B,8.04153023166535
E,C,E,C,B,A,-0.5773121900588699
E,C,A,D,B,B,12.953719131043286
E,C,A,C,C,B,-15.654213917053227
E,C,A,D,C,A,-19.498050731540538
E,C,C,D,C,B,-12.283550285374249
E,C,A,D,C,B,-7.1142483304631785
E,B,A,E,A,A,20.8723226820389
E,C,B,E,B,A,3.02778259922812
E,C,A,B,B,B,-19.305412364348193
E,C,B,E,B,B,4.817688976560863
E,C,C,A,B,B,1.5267062318760232
C,C,C,A,C,C,12.137720711244766
E,C,C,C,C,C,14.129978013394865
E,C,C,A,C,C,24.156898199170108
E,C,C,A,A,A,3.2415667255203795
A,C,D,E,A,A,12.263003144577329
E,C,D,E,A,A,18.195084079471947
D,C,D,E,A,A,10.717834080436862
E,C,C,E,B,A,3.1396690194016674
E,C,C,E,B,B,3.5364951278593413
E,D,D,E,B,B,19.440320062676864
E,C,A,E,C,B,9.370045964651133
E,C,E,E,C,B,6.768319089904008
E,C,E,C,B,B,0.4831182137553363
E,C,E,A,A,A,19.27283630247836
A,C,E,E,A,A,14.617361845196125
E,D,E,B,C,B,5.733375653393175
E,D,D,C,A,A,2.8636904417880857
A,D,B,E,B,A,3.978253652502036
D,D,B,E,B,A,3.269719019438789
E,D,B,E,B,A,4.915001359178709
E,D,C,D,C,B,4.48425256044877
E,D,C,D,C,A,1.4259804937100529
C,D,E,C,C,B,2.590236941087356
E,C,E,C,C,B,1.0245434224892127
E,D,E,D,C,B,10.73333234392263
E,D,E,D,B,B,16.270853055570154
E,D,E,D,B,A,8.580337443913404
E,E,B,E,B,A,2.5858940194858224
E,E,C,A,C,A,5.313679048021917
E,E,D,D,A,A,20.723317694717235
A,A,A,A,B,A,9.22128708320825
A,A,A,A,B,B,7.256870151763625
A,A,A,A,B,C,38.811082035711756
A,A,A,A,B,D,39.40382235444971
A,A,A,A,C,A,7.923067995905724
A,A,A,A,C,B,8.512988908409232
A,A,A,A,C,C,33.72123688494102
A,A,A,A,C,D,32.98964137492927
A,A,A,C,A,A,2.266167877811606
A,A,A,C,B,C,35.61264754514141
A,A,A,D,A,A,13.355274853624644
A,A,A,D,A,B,4.030613794622395
A,A,A,D,C,A,13.624195436388225
A,A,A,D,C,B,18.746882551634787
A,A,A,D,C,C,37.74999160862163
A,A,A,E,A,A,16.91883207921967
A,A,A,E,A,D,60.19377016851163
A,A,A,E,B,A,15.778038629482419
A,A,A,E,B,B,21.075403750382247
A,A,A,E,B,C,45.642429510438674
A,A,A,E,B,D,41.13694169936795
A,A,A,E,C,A,16.552435512362152
A,A,A,E,C,B,24.099801909832873
A,A,A,E,C,C,41.183454470824366
A,A,A,E,C,D,36.130875617575114
A,A,B,A,B,C,29.16349585142252
A,A,B,E,C,D,30.026259847205036
A,A,C,A,A,A,0.3391791564815567
A,A,C,A,B,A,5.781260232840079
A,A,C,D,A,A,6.942273028994587
A,A,C,D,B,A,5.773545037012099
A,A,C,D,B,C,33.8637640596163
A,A,C,D,C,A,6.110870355831147
A,A,C,E,B,A,3.2575572215776263
A,A,C,E,B,B,11.123549052376397
A,A,C,E,C,D,25.46654807143535
A,A,D,A,A,A,11.441556305779311
A,A,D,C,B,C,36.14329261363228
A,A,D,D,A,A,15.276578616344766
A,A,D,D,B,A,11.268944063713537
A,A,D,D,B,B,16.169035369209052
A,A,D,D,B,C,39.53973685205258
A,A,D,D,B,D,40.553206210140985
A,A,D,E,A,A,18.16579791154529
A,A,E,A,A,A,16.891317678420293
A,A,E,A,A,B,26.0675872614433
A,A,E,A,B,A,15.220224767975695
A,A,E,A,B,B,15.193923241780087
A,A,E,A,B,C,43.28034254035221
A,A,E,A,B,D,38.993725911309404
A,A,E,A,C,A,13.07533402564624
A,A,E,A,C,B,13.497735463639293
A,A,E,A,C,C,37.966896852631095
A,A,E,A,C,D,31.95481873261156
A,A,E,B,B,D,36.76447080044169
A,A,E,C,B,A,4.303836838617128
A,A,E,C,B,B,5.810690596094028
A,A,E,C,C,A,3.8517324486147873
A,A,E,D,A,A,12.907666345513661
A,A,E,D,C,A,13.06056852643867
A,A,E,D,C,B,17.994922062964246
A,A,E,D,C,D,30.448002141095465
A,A,E,E,A,D,44.86151258383289
A,A,E,E,B,A,12.67429373135802
A,A,E,E,B,B,19.586526679506207
A,A,E,E,B,C,43.416932190223214
A,A,E,E,B,D,34.48680649828961
A,A,E,E,C,B,18.280353230304968
A,A,E,E,C,C,35.31930969280685
A,A,E,E,C,D,25.489511556865672
