R1,R2,R3,R4,X,Y,barrier
A,B,C,A,A,C,40.14003062568917
D,C,E,A,A,D,46.45736501636815
E,C,C,A,A,A,23.68552158491612
A,A,C,B,A,B,16.725671960074312
A,A,C,C,C,C,21.09287946030048
A,A,C,E,B,C,25.592721682277684
A,A,E,C,B,B,19.695108825654494
A,B,A,B,B,C,21.435219280043054
A,B,A,C,B,B,7.953866434627282
A,B,A,C,B,C,21.11107143131451
A,B,A,C,B,D,25.304066535779143
A,B,B,D,B,B,4.396757414072532
A,B,C,A,C,B,8.148025760547915
A,B,C,A,C,C,21.825866682378077
A,B,C,A,C,D,25.847711291250054
A,B,D,E,B,B,23.06452040882544
A,B,E,A,B,B,15.115413491124235
A,C,A,B,B,C,21.098913944640827
A,C,A,B,B,D,23.903476747897443
A,C,B,A,C,C,19.966732448500625
A,C,B,B,A,C,38.8888883212825
A,C,B,C,B,C,23.858903770988068
A,C,C,A,A,B,19.075429209598838
A,C,C,A,C,B,8.013283866503658
A,C,C,C,C,C,22.19963677394945
A,C,E,E,B,D,29.99619937837089
A,C,D,B,C,B,0.9518529395812314
A,C,D,B,C,C,18.161892936195738
A,C,D,E,A,A,15.797271226270265
A,C,D,E,A,B,28.90122604256608
A,C,E,B,B,B,14.883107620067127
A,C,E,D,C,C,28.744739124996446
A,C,E,D,C,B,22.054643192544606
A,C,E,E,A,C,49.42551084015998
A,C,E,E,B,A,4.2740138619661865
A,C,E,E,B,B,28.79514846007246
A,C,E,E,B,C,37.221859876616385
A,D,B,B,B,B,3.8825372304682686
A,D,B,C,A,B,18.556438211948567
A,D,B,C,B,B,8.648493747263021
A,D,B,E,B,A,14.407960489824855
A,D,B,E,B,C,26.68587747070147
A,D,C,C,C,B,4.0978188757680645
A,D,C,C,C,C,25.026063745193216
A,D,C,E,A,A,26.46918727207857
A,D,C,E,A,B,29.529905721373986
A,D,C,E,A,C,44.99540450982835
A,D,E,E,C,A,10.301769022967044
A,D,E,E,C,B,19.154772212211032
A,D,E,E,C,C,31.59045940835719
A,E,A,C,B,B,19.184704395849547
A,E,B,E,A,B,40.40658700610087
A,E,B,A,A,B,34.72474566282938
A,E,B,D,A,A,26.77834008431371
A,E,B,D,A,B,33.686610602921746
A,E,B,E,A,A,34.762410407348966
A,E,B,E,B,A,22.10447785622703
A,E,C,C,A,B,21.4287202498444
A,E,C,C,A,C,47.27350505191457
A,E,C,C,B,B,8.343482009990241
A,E,C,B,A,C,46.08786197298702
A,E,E,B,B,A,19.423098286670168
A,E,E,B,B,B,24.861249235357317
A,E,E,C,A,B,34.39131439800479
A,E,E,C,A,C,45.98721665719988
B,A,A,C,B,B,10.344846109943582
B,A,A,C,B,C,27.407684826562967
B,A,B,A,A,A,0.8879238896414916
B,A,B,A,A,B,12.770192861470669
B,A,B,A,A,C,34.947057334211266
B,A,B,E,A,B,25.806002835261094
B,A,B,E,A,C,42.70671757410601
B,A,C,A,C,C,18.919837870307408
B,A,C,A,C,D,23.757302507204646
B,A,C,C,B,B,5.373545064527073
B,A,C,C,B,C,25.345133987060922
B,A,C,E,A,A,14.28574385176589
B,A,C,E,A,B,27.813931188825684
B,A,C,E,A,C,44.94758420965653
B,A,D,C,C,C,23.362423691863576
B,A,D,E,B,A,7.4869959289175165
B,A,D,E,B,B,22.430192130744597
B,A,E,A,A,B,27.073318173448836
B,A,E,A,C,C,24.164867678113612
B,A,E,A,C,D,27.116726076054913
B,A,E,C,A,A,14.013318397931876
B,A,E,C,C,B,18.094316897047804
B,A,E,C,C,C,27.91512240276123
B,A,E,D,C,B,18.160502962906364
B,C,A,D,A,B,15.406808171121135
B,C,C,A,A,B,13.153669490891641
B,C,C,D,B,B,6.929663882865661
B,C,C,D,B,C,22.750352216416488
B,C,C,E,A,C,33.80479883277605
B,C,D,A,B,B,4.942761570654435
B,D,A,E,A,A,15.029792337814193
B,D,C,A,A,B,22.259372491230998
B,D,C,A,A,C,42.72492411893766
B,D,D,E,C,A,0.9843920025040296
B,D,E,C,B,C,36.21768767315515
B,D,E,D,A,A,12.34396976273539
B,D,E,D,B,C,37.77440021404756
B,D,E,D,C,A,6.987996324953373
B,E,A,B,A,B,27.816173117067986
B,E,A,B,A,C,52.88414348116374
B,E,A,C,A,C,52.21948651369882
B,E,A,C,B,B,24.045570662729787
B,E,A,C,B,C,37.39690949720822
B,E,B,A,A,B,27.817183658310533
B,E,B,D,A,B,29.597237641693216
B,E,C,E,A,C,51.164443583724925
B,E,D,A,A,C,51.04412604034381
B,E,D,A,A,D,54.06691007217239
B,E,D,A,B,C,35.5928731013589
B,E,D,D,A,C,54.17108301800952
B,E,E,C,A,A,21.619674174628848
C,A,A,C,B,B,9.724850918102211
C,A,A,E,C,B,19.5378814248092
C,A,A,E,C,C,25.71841266843296
C,A,B,E,A,B,17.43854013529808
C,A,B,E,A,C,30.770268352388676
C,A,C,A,B,B,8.705968693524929
C,A,C,A,B,C,21.57985491530941
C,A,C,A,B,D,27.000378132747826
C,A,C,D,C,B,7.46027358980016
C,A,C,E,B,B,16.354717983029765
C,A,C,E,B,C,22.067100526127447
C,A,D,B,A,B,20.451982068529
C,A,D,B,A,C,38.963805168778656
C,A,D,E,A,A,16.554918404863535
C,A,D,E,A,B,28.782609881993608
C,A,D,E,A,C,42.92959543153928
C,A,E,A,C,B,15.951821117057806
C,A,E,A,C,C,24.56091609510964
C,A,E,A,C,D,26.995485555328827
C,A,E,C,B,A,9.47535210142658
C,A,E,C,B,B,19.62701639768499
C,A,E,C,B,C,33.6900464920711
C,A,E,C,B,D,34.85008252029777
C,A,E,C,C,B,17.944595893032954
C,A,E,C,C,C,24.443968914557477
C,B,A,D,A,C,30.55102518229721
C,B,A,E,A,B,18.548800226217804
C,B,A,E,A,C,33.40452633234384
C,B,A,E,B,C,23.73310020229146
C,C,A,E,A,B,19.19702967910775
C,C,A,E,C,C,20.803725330479445
C,C,C,D,A,B,14.50656096876298
