R1,R2,R3,R4,X,Y,barrier
A,A,A,B,A,C,42.039444075327296
A,A,A,C,A,A,19.140599009000514
A,A,A,C,A,B,22.595626943793548
A,A,A,C,B,A,6.45059971910984
A,A,A,C,B,B,10.787757552127855
A,A,A,C,B,D,23.52981688879936
A,A,A,D,A,A,17.708734177447848
A,A,A,D,A,B,17.15019112211574
A,A,A,E,A,A,19.44142519717215
A,A,A,E,A,B,23.59261280640623
A,A,A,E,A,C,40.28365579547559
A,A,A,E,B,A,8.215396266406158
A,A,A,E,B,B,12.09969440695222
A,A,A,E,C,A,3.786206453050902
A,A,A,E,C,D,18.3797120545857
A,A,B,A,B,C,22.507544268386415
A,A,B,A,B,D,23.88190895429465
A,A,B,A,C,B,8.00016853355914
A,A,B,A,C,C,17.875924119786742
A,A,B,A,C,D,19.06253936076753
A,A,B,B,A,A,11.982265562755142
A,A,B,B,A,B,9.80512702735056
A,A,B,B,B,B,13.20735116687508
A,A,B,B,B,C,24.693571189943096
A,A,B,B,B,D,26.10514538489692
A,A,B,B,C,B,-2.075087423925337
A,A,B,B,C,C,19.904506029704972
A,A,B,B,C,D,21.05334176120478
A,A,B,C,A,B,13.561471026910047
A,A,B,C,B,A,4.995762580912035
A,A,B,C,B,B,4.599113495955899
A,A,B,C,B,C,25.655790579420753
A,A,B,C,C,B,1.494637817554859
A,A,B,C,C,C,20.97836302485011
A,A,B,C,C,D,21.958642037887863
A,A,B,D,A,A,17.11205337728566
A,A,B,D,A,B,20.122948938493064
A,A,B,D,A,C,39.882345425181896
A,A,B,E,A,A,15.894413816864535
A,A,B,E,A,B,21.70421386746133
A,A,B,E,A,C,34.09954703068916
A,A,B,E,A,D,37.07053636589871
A,A,B,E,B,A,5.51452331954915
A,A,B,E,B,B,12.95760822141887
A,A,B,E,B,C,20.788555298989426
A,A,B,E,B,D,22.182298338059766
A,A,B,E,C,B,9.792225999680328
A,A,B,E,C,C,16.378053954357473
A,A,B,E,C,D,17.54316801719704
