R1,R2,R3,R4,barrier
O=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],14.8
S=C=N[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],12.4
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,5.2
Cl[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,10.5
C#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],9.4
S[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],8.9
O=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],15.5
S[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],4.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,9.0
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],6.5
S[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.8
O[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],17.9
C#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],8.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],7.7
F[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],16.8
O=C=N[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,17.0
C#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,14.3
S=C=N[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,6.6
S=C=N[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,15.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],9.6
F[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.2
O=C=N[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],18.1
O=C=N[*:1],[O+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,22.0
S[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,10.1
Br[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,11.5
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],8.2
Br[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],7.1
Cl[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,10.9
N#C[*:1],[NH+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,9.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],6.9
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],11.4
Br[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],9.5
N#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,9.9
Br[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],5.5
N#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],8.0
Br[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,12.6
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],7.2
F[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,18.5
O=[N+]([O-])[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.5
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],6.4
O=C=N[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],14.2
S=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],14.7
F[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,23.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,11.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.0
O=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],20.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],5.3
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1cn([*:4])cn1,8.2
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1cn([*:4])cn1,11.9
O=[N+]([O-])[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],6.8
O[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1CCN(C)[C-]1[*:4],20.0
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,3.0
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C1=[N+]([*:4])CCO1,11.0
C#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],12.1
Br[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,11.4
O=C=N[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,11.4
S[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],4.9
S[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,11.7
S[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],8.6
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],10.8
F[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],13.2
C#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.7
F[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],18.0
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],6.6
O=C=N[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,12.2
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],6.3
S[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,13.1
Br[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,12.2
